CASRN,SMILES
56-38-2,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O
82-68-8,[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
87-86-5,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
90-43-7,OC1=C(C=CC=C1)C1=CC=CC=C1
13171-21-6,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC
1918-02-1,NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl
51-03-6,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC
139-40-2,CC(C)NC1=NC(NC(C)C)=NC(Cl)=N1
1114-71-2,CCCCN(CC)C(=O)SCCC
83-79-4,COC1=CC2=C(C=C1OC)[C@H]1[C@@H](CO2)OC2=C(C=CC3=C2C[C@@H](O3)C(C)=C)C1=O
122-34-9,CCNC1=NC(NCC)=NC(Cl)=N1
95-06-7,CCN(CC)C(=S)SCC(Cl)=C
116-29-0,ClC1=CC=C(C=C1)S(=O)(=O)C1=CC(Cl)=C(Cl)C=C1Cl
137-26-8,CN(C)C(=S)SSC(=S)N(C)C
148-79-8,N1C2=C(C=CC=C2)N=C1C1=CSC=N1
79-19-6,NNC(N)=S
133-07-3,ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O
93-72-1,CC(OC1=C(Cl)C=C(Cl)C(Cl)=C1)C(O)=O
93-76-5,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1
52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
1582-09-8,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
137-30-4,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S
12122-67-7,[Zn++].[S-]C(=S)NCCNC([S-])=S
75-99-0,CC(Cl)(Cl)C(O)=O
66-76-2,OC1=C(CC2=C(O)C3=CC=CC=C3OC2=O)C(=O)OC2=CC=CC=C12
97-23-4,OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O
110-54-3,CCCCCC
114-26-1,CNC(=O)OC1=CC=CC=C1OC(C)C
115-90-2,CCOP(=S)(OCC)OC1=CC=C(C=C1)S(C)=O
134-62-3,CCN(CC)C(=O)C1=CC=CC(C)=C1
298-04-4,CCOP(=S)(OCC)SCCSCC
314-40-9,CCC(C)N1C(=O)NC(C)=C(Br)C1=O
534-52-1,CC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O
786-19-6,CCOP(=S)(OCC)SCSC1=CC=C(Cl)C=C1
1689-83-4,OC1=C(I)C=C(C=C1I)C#N
1689-84-5,OC1=C(Br)C=C(C=C1Br)C#N
2032-59-9,CNC(=O)OC1=CC(C)=C(C=C1)N(C)C
2104-64-5,CCOP(=S)(OC1=CC=C(C=C1)[N+]([O-])=O)C1=CC=CC=C1
10453-86-8,CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C
13071-79-9,CCOP(=S)(OCC)SCSC(C)(C)C
15972-60-8,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl
16752-77-5,CNC(=O)ON=C(C)SC
52645-53-1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1
70124-77-5,CC(C)[C@H](C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(OC(F)F)C=C1
1610-18-0,COC1=NC(NC(C)C)=NC(NC(C)C)=N1
50471-44-8,CC1(OC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1)C=C
51218-45-2,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1
73-24-5,NC1=NC=NC2=C1N=CN2
54965-21-8,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1
14769-73-4,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1
81-81-2,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O
30560-19-1,COP(=O)(NC(C)=O)SC
34256-82-1,CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C
1646-88-4,CNC(=O)O\N=C\C(C)(C)S(C)(=O)=O
74223-64-6,COC(=O)C1=C(C=CC=C1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1
67485-29-4,CC1(C)CNC(NC1)=NN=C(\C=C\C1=CC=C(C=C1)C(F)(F)F)/C=C/C1=CC=C(C=C1)C(F)(F)F
834-12-8,CCNC1=NC(SC)=NC(NC(C)C)=N1
