CASRN,SMILES
131983-72-7,CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1
123343-16-8,[Na+].COC1=CC(OC)=NC(SC2=C(C([O-])=O)C(Cl)=CC=C2)=N1
7786-34-7,COC(=O)C=C(C)OP(=O)(OC)OC
26002-80-2,CC(C)=CC1C(C(=O)OCC2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C
32809-16-8,CC12CC1(C)C(=O)N(C2=O)C1=CC(Cl)=CC(Cl)=C1
29091-21-2,CCCN(CCC)C1=C(C(N)=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
119168-77-3,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl
62732-91-6,CCOCCOCCOC(=O)NC1=NC2=C(N1)C=CC=C2
101-10-0,CC(OC1=CC(Cl)=CC=C1)C(O)=O
470-90-6,CCOP(=O)(OCC)OC(=CCl)C1=C(Cl)C=C(Cl)C=C1
2464-37-1,OC(=O)C1(O)C2=C(C=CC=C2)C2=C1C=C(Cl)C=C2
122-88-3,OC(=O)COC1=CC=C(Cl)C=C1
135410-20-7,CN(CC1=CN=C(Cl)C=C1)C(\C)=N\C#N
112143-82-5,CCOC(=O)CSC1=NC(=NN1C(=O)N(C)C)C(C)(C)C
14816-18-3,CCOP(=S)(OCC)O\N=C(/C#N)C1=CC=CC=C1
12771-68-5,COC1=CC=C(C=C1)C(O)(C1CC1)C1=CN=CN=C1
64628-44-0,FC(F)(F)OC1=CC=C(NC(=O)NC(=O)C2=CC=CC=C2Cl)C=C1
103055-07-8,FC(C(F)(F)F)C(F)(F)OC1=CC(Cl)=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl
18181-80-1,CC(C)OC(=O)C(O)(C1=CC=C(Br)C=C1)C1=CC=C(Br)C=C1
69327-76-0,CC(C)N1C(SCN(C1=O)C1=CC=CC=C1)=NC(C)(C)C
23184-66-9,CCCCOCN(C(=O)CCl)C1=C(CC)C=CC=C1CC
36756-79-3,CCC(C)N(C(C)CC)C(=O)SCC1=CC=CC=C1
87818-31-3,CC(C)[C@]12CC[C@](C)(O1)[C@@H](C2)OCC1=C(C)C=CC=C1
99129-21-2,CCSC(C)CC1CC(O)=C(\C(CC)=N\OC\C=C\Cl)C(=O)C1
125116-23-6,CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1
122008-85-9,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1
13684-56-5,CCOC(=O)NC1=CC(OC(=O)NC2=CC=CC=C2)=CC=C1
23564-06-9,CCOC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OCC)C=CC=C1
2764-72-9,C1C[N+]2=C(C=CC=C2)C2=CC=CC=[N+]12
26225-79-6,CCOC1OC2=C(C=C(OS(C)(=O)=O)C=C2)C1(C)C
67564-91-4,CC(CN1C[C@H](C)O[C@H](C)C1)CC1=CC=C(C=C1)C(C)(C)C
120068-37-3,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F
104040-78-0,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(F)(F)F)=N1
68157-60-8,ClC1=NC=CC(NC(=O)NC2=CC=CC=C2)=C1
100784-20-1,COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1
79983-71-4,CCCCC(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1Cl
81334-34-1,CC(C)C1(C)N=C(NC1=O)C1=NC=CC=C1C(O)=O
125225-28-7,CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1
42509-80-8,CCOP(=S)(OCC)OC1=NN(C(C)C)C(Cl)=N1
53780-34-0,CC(=O)NC1=CC(NS(=O)(=O)C(F)(F)F)=C(C)C=C1C
111991-09-4,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(=O)N(C)C)=N1
61444-62-0,NC1=C(NC(=O)C(F)(F)C(F)F)C=C(C=C1[N+]([O-])=O)C(F)(F)F
57018-04-9,COP(=S)(OC)OC1=C(Cl)C=C(C)C=C1Cl
5259-88-1,CC1=C(C(=O)NC2=CC=CC=C2)S(=O)(=O)CCO1
4685-14-7,C[N+]1=CC=C(C=C1)C1=CC=[N+](C)C=C1
35575-96-3,COP(=O)(OC)SCN1C(=O)OC2=CC(Cl)=CN=C12
94125-34-5,COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(CCC(F)(F)F)C=CC=C2)=N1
1698-60-8,NC1=C(Cl)C(=O)N(N=C1)C1=CC=CC=C1
53112-28-0,CC1=CC(C)=NC(NC2=CC=CC=C2)=N1
299-84-3,COP(=S)(OC)OC1=C(Cl)C=C(Cl)C(Cl)=C1
98886-44-3,CCOP(=O)(SC(C)CC)N1CCSC1=O
74222-97-2,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC1=NC(C)=CC(C)=N1
81591-81-3,C[S+](C)C.OP(O)(=O)CNCC([O-])=O
7704-34-9,[S]
112410-23-8,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C
65691-00-1,ClC1=CC=C(C=C1)C1=CC(=C(S1)C1=CC=CC=C1)C1=CC=CC=C1
87820-88-0,CCON=C(CC)C1=C(O)CC(CC1=O)C1=C(C)C=C(C)C=C1C
111578-32-6,CON(C)C(=O)NC1=CC=C(OC2=CC=C3C(OC(C)(CC3(C)C)OC)=C2)C=C1
30043-49-3,CCS(=O)(=O)C1=NN=C(S1)N(C)C(=O)NC
525-79-1,C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1
68359-37-5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=C(F)C(OC2=CC=CC=C2)=C1
74738-17-3,ClC1=CC=CC(C2=CNC=C2C#N)=C1Cl
38966-21-1,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H]1CC[C@H]1C[C@@H]3C[C@]21CC[C@]3(O)CO
41814-78-2,CC1=C2N3C=NN=C3SC2=CC=C1
55179-31-2,CC(C)(C)C(O)C(OC1=CC=C(C=C1)C1=CC=CC=C1)N1C=NC=N1
95465-99-9,CCOP(=O)(SC(C)CC)SC(C)CC
6164-98-3,CN(C)\C=N\C1=CC=C(Cl)C=C1C
24934-91-6,CCOP(=S)(OCC)SCCl
7700-17-6,COP(=O)(OC)O\C(C)=C\C(=O)OC(C)C1=CC=CC=C1
299-86-5,CNP(=O)(OC)OC1=CC=C(C=C1Cl)C(C)(C)C
10311-84-9,CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=C(C=CC=C2)C1=O
87130-20-9,CCOC1=CC=C(NC(=O)OC(C)C)C=C1OCC
4147-51-7,CCSC1=NC(NC(C)C)=NC(NC(C)C)=N1
2497-07-6,CCOP(=S)(OCC)SCCS(=O)CC
136-25-4,CC(Cl)(Cl)C(=O)OCCOC1=CC(Cl)=C(Cl)C=C1Cl
29973-13-5,CCSCC1=C(OC(=O)NC)C=CC=C1
101-42-8,CN(C)C(=O)NC1=CC=CC=C1
15457-05-3,[O-][N+](=O)C1=CC=C(OC2=C(C=C(C=C2)C(F)(F)F)[N+]([O-])=O)C=C1
102851-06-9,CC(C)[C@@H](NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1
55814-41-0,CC(C)OC1=CC=CC(NC(=O)C2=C(C)C=CC=C2)=C1
18691-97-9,CNC(=O)N(C)C1=NC2=C(S1)C=CC=C2
1746-81-2,CON(C)C(=O)NC1=CC=C(Cl)C=C1
10552-74-6,CC(C)OC(=O)C1=CC(=CC(=C1)C(=O)OC(C)C)[N+]([O-])=O
1113-02-6,CNC(=O)CSP(=O)(OC)OC
1014-70-6,CCNC1=NC(SC)=NC(NCC)=N1
24017-47-8,CCOP(=S)(OCC)OC1=NN(C=N1)C1=CC=CC=C1
2631-37-0,CNC(=O)OC1=CC(=CC(C)=C1)C(C)C
2275-18-5,CCOP(=S)(OCC)SCC(=O)NC(C)C
33089-74-6,CNC=NC1=CC=C(C)C=C1C
327-98-0,CCOP(=S)(CC)OC1=C(Cl)C=C(Cl)C(Cl)=C1
116-06-3,CNC(=O)ON=CC(C)(C)SC
72962-43-7,CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C
29091-05-2,CCN(CC)C1=C(C=C(C(N)=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
973-21-7,CCC(C)C1=CC(=CC(=C1OC(=O)OC(C)C)[N+]([O-])=O)[N+]([O-])=O
3347-22-6,O=C1C2=C(SC(C#N)=C(S2)C#N)C(=O)C2=C1C=CC=C2
7429-90-5,[Al]
97-17-6,CCOP(=S)(OCC)OC1=CC=C(Cl)C=C1Cl
22212-55-1,CCOC(=O)C(C)N(C(=O)C1=CC=CC=C1)C1=CC(Cl)=C(Cl)C=C1
80-06-8,CC(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
13360-45-7,CON(C)C(=O)NC1=CC(Cl)=C(Br)C=C1
18530-56-8,CN(C)C(=O)N[C@@H]1C[C@@H]2C[C@H]1[C@@H]1CCC[C@H]21
20354-26-1,CN1C(=O)ON(C1=O)C1=CC=C(Cl)C(Cl)=C1
22936-86-3,CC(C)NC1=NC(Cl)=NC(NC2CC2)=N1
24579-73-5,CCCOC(=O)NCCCN(C)C
556-22-9,CC(O)=O.CCCCCCCCCCCCCCCCCC1=NCCN1
42576-02-3,COC(=O)C1=C(C=CC(OC2=CC=C(Cl)C=C2Cl)=C1)[N+]([O-])=O
52756-25-9,COC(=O)C(C)N(C(=O)C1=CC=CC=C1)C1=CC(Cl)=C(F)C=C1
50-65-7,OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O
83657-24-3,CC(C)(C)C(O)C(=C/C1=C(Cl)C=C(Cl)C=C1)\N1C=NC=N1
140-56-7,[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O
6980-18-3,[H][C@]1(O[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]2O)O[C@H](C)[C@H](C[C@@H]1N)NC(=N)C(O)=O
120928-09-8,CC(C)(C)C1=CC=C(CCOC2=NC=NC3=C2C=CC=C3)C=C1
76674-21-0,OC(CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=C(F)C=CC=C1
1593-77-7,CC1CN(CC(C)O1)C1CCCCCCCCCCC1
93-80-1,OC(=O)CCCOC1=C(Cl)C=C(Cl)C(Cl)=C1
24602-86-6,CCCCCCCCCCCCCN1CC(C)OC(C)C1
2797-51-5,NC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
83164-33-4,FC1=CC=C(NC(=O)C2=C(OC3=CC(=CC=C3)C(F)(F)F)N=CC=C2)C(F)=C1
2532-49-2,CCCC1=NC(C)=CC(OC(=O)N(C)C)=N1
919-54-0,CCOC(=O)CSP(=S)(OCC)OCC
101007-06-1,CC1(C)[C@@H](\C=C/C(=O)OC(C(F)(F)F)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)C1=CC(OC2=CC=CC=C2)=CC=C1
93-71-0,ClCC(=O)N(CC=C)CC=C
6392-46-7,CNC(=O)OC1=CC(C)=C(N(CC=C)CC=C)C(C)=C1
919-76-6,COCCNC(=O)CSP(=S)(OC)OC
494-52-0,C1CC[C@H](NC1)C1=CC=CN=C1
60207-31-0,ClC1=CC(Cl)=C(C=C1)C1(CN2C=NC=N2)OCCO1
120162-55-2,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=C(C=NN2C)C2=NN(C)N=N2)=N1
101-27-9,ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1
71626-11-4,COC(=O)C(C)N(C(=O)CC1=CC=CC=C1)C1=C(C)C=CC=C1C
82560-54-1,CCOC(=O)CCN(SN(C)C(=O)OC1=CC=CC2=C1OC(C)(C)C2)C(C)C
15310-01-7,IC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1
495-73-8,ON=C1C=CC(C=C1)=NNC(=O)C1=CC=CC=C1
29104-30-1,CCON=C(OC(=O)C1=CC=CC=C1)C1=C(OC)C=CC(Cl)=C1OC
1929-88-0,CNC(=O)NC1=NC2=CC=CC=C2S1
13181-17-4,OC1=C(Br)C=C(C=NOC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)C=C1Br
2104-96-3,COP(=S)(OC)OC1=C(Cl)C=C(Br)C(Cl)=C1
3042-84-0,NC1=C(Br)C(=O)N(N=C1)C1=CC=CC=C1
136-63-0,CCCCOCCOCCOC(=O)C1=CC2=C(OCO2)C=C1
41483-43-6,CCCCC1=C(OS(=O)(=O)N(C)C)N=C(NCC)N=C1C
2655-19-8,CNC(=O)OC1=CC(=CC(=C1)C(C)(C)C)C(C)(C)C
35256-85-0,CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C
126-22-7,CCCC(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC)OC
34681-23-7,CNC(=O)O\N=C(/C)C(C)S(C)(=O)=O
3766-60-7,CC(C#C)N(C)C(=O)NC1=CC=C(Cl)C=C1
31848-11-0,CN(C)C(=S)SCN1CCOCC1
16118-49-3,CCNC(=O)C(C)OC(=O)NC1=CC=CC=C1
103-17-3,ClC1=CC=C(CSC2=CC=C(Cl)C=C2)C=C1
1967-16-4,CC(OC(=O)NC1=CC(Cl)=CC=C1)C#C
14437-17-3,COC(=O)C(Cl)CC1=CC=C(Cl)C=C1
2274-74-0,ClC1=CC=C(SN=NC2=CC(Cl)=C(Cl)C=C2Cl)C=C1
71422-67-8,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC(Cl)=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C(Cl)=C1
1836-77-7,[O-][N+](=O)C1=CC=C(OC2=C(Cl)C=C(Cl)C=C2Cl)C=C1
5836-10-2,CC(C)OC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
115-78-6,[Cl-].CCCC[P+](CCCC)(CCCC)CC1=C(Cl)C=C(Cl)C=C1
3495-42-9,ClC1=C(Cl)C2=C(N=CC=N2)C(Cl)=C1Cl
1918-13-4,NC(=S)C1=C(Cl)C=CC=C1Cl
34484-77-0,C[C@H]1CC[C@@H](C)N1C(=O)NC1=CC=CC=C1
51487-69-5,CNC(=O)OC1=C(OC(CCl)OC)C=CC=C1
81-82-3,CC(=O)CC(C1=CC=C(Cl)C=C1)C1=C(O)C2=C(OC1=O)C=CC=C2
117-52-2,CC(=O)CC(C1=CC=CO1)C1=C(O)C2=C(OC1=O)C=CC=C2
5836-29-3,OC1=C(C2CCCC3=C2C=CC=C3)C(=O)OC2=C1C=CC=C2
535-89-7,CN(C)C1=CC(C)=NC(Cl)=N1
13067-93-1,CCOP(=S)(OC1=CC=C(C=C1)C#N)C1=CC=CC=C1
2636-26-2,COP(=S)(OC)OC1=CC=C(C=C1)C#N
3734-95-0,CCOP(=O)(OCC)SCC(=O)NC(C)(C)C#N
97-11-0,CC(C)=CC1C(C(=O)OC2CC(=O)C(C3CCC=C3)=C2C)C1(C)C
2163-69-1,CN(C)C(=O)NC1CCCCCCC1
28559-00-4,COC(=O)NC1=NC2=C(C=CC=C2)N1C(=O)NCCCCCC#N
2759-71-9,ClC1=CC=C(NC(=O)C2CC2)C=C1Cl
115-93-5,COP(=S)(OC)OC1=CC=C(C=C1)S(N)(=O)=O
24353-58-0,CC(C)COCN(C(=O)CCl)C1=C(C)C=CC=C1C
1014-69-3,CNC1=NC(SC)=NC(NC(C)C)=N1
80060-09-9,CC(C)C1=CC(OC2=CC=CC=C2)=CC(C(C)C)=C1NC(=S)NC(C)(C)C
6597-78-0,COC(=O)C1=C(OC)C(Cl)=CC=C1Cl
2463-84-5,COP(=S)(OC)OC1=CC=C(C=C1Cl)[N+]([O-])=O
1085-98-9,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)C1=CC=CC=C1
1966-58-1,CNC(=O)OCC1=CC(Cl)=C(Cl)C=C1
14214-32-5,COC1=CC=C(OC2=CC=C(NC(=O)N(C)C)C=C2)C=C1
115-26-4,CN(C)P(F)(=O)N(C)C
122-15-6,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1
22936-75-0,CCNC1=NC(SC)=NC(NC(C)C(C)C)=N1
5221-53-4,CCCCC1=C(O)N=C(N=C1C)N(C)C
644-64-4,CN(C)C(=O)OC1=NN(C(=O)N(C)C)C(C)=C1
4097-36-3,CCCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O
1420-07-1,CC(C)(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O
3811-49-2,COP1(=S)OCC2=CC=CC=C2O1
6988-21-2,CNC(=O)OC1=C(C=CC=C1)C1OCCO1
1918-08-7,CCCN(CCC)C1=C(C=C(C)C=C1[N+]([O-])=O)[N+]([O-])=O
5131-24-8,CCOP(=S)(OCC)N1C(=O)C2=C(C=CC=C2)C1=O
5707-69-7,CC1=NOC(=O)\C1=N/NC1=CC=CC=C1Cl
17109-49-8,CCOP(=O)(SC1=CC=CC=C1)SC1=CC=CC=C1
2778-04-3,COC1=COC(CSP(=O)(OC)OC)=CC1=O
60207-93-4,CCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1
2941-55-1,CCSC(=O)N(CC)CC
64529-56-2,CCSC1=NN=C(C(=O)N1N)C(C)(C)C
23947-60-6,CCCCC1=C(O)N=C(NCC)N=C1C
38260-54-7,CCOC1=CC(OP(=S)(OC)OC)=NC(CC)=N1
52-85-7,COP(=S)(OC)OC1=CC=C(C=C1)S(=O)(=O)N(C)C
61019-78-1,CCCCC(CN1C=CN=C1)(C#N)C1=CC=CC=C1
14255-88-0,FC(F)(F)C1=NC2=C(C=C(Cl)C(Cl)=C2)N1C(=O)OC1=CC=CC=C1
75867-00-4,CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)OCC1=C(F)C(F)=C(F)C(F)=C1F
80-38-6,ClC1=CC=C(OS(=O)(=O)C2=CC=CC=C2)C=C1
47000-92-0,CC(=O)NC1=CC=C(C)C(NS(=O)(=O)C(F)(F)F)=C1
13738-63-1,[O-][N+](=O)C1=CC=C(OC2=C(F)C=C(Cl)C=C2Cl)C=C1
61213-25-0,FC(F)(F)C1=CC=CC(=C1)N1CC(CCl)C(Cl)C1=O
22259-30-9,CNC(=O)OC1=CC=CC(=C1)N=CN(C)C
2540-82-1,COP(=S)(OC)SCC(=O)N(C)C=O
21548-32-3,CCOP(=O)(OCC)N=C1SCS1
3878-19-1,N1C2=CC=CC=C2N=C1C1=CC=CO1
121776-33-8,CC1(C)OC(CN1C(=O)C(Cl)Cl)C1=CC=CO1
13516-27-3,NC(=N)NCCCCCCCCNCCCCCCCCNC(N)=N
34462-96-9,ClC1=CC(Br)=C(OC(=O)C=C)C2=C1C=CC=N2
41096-46-2,CCOC(=O)\C=C(/C)\C=C\CC(C)CCCC(C)C
24353-61-5,COP(N)(=S)OC1=C(C=CC=C1)C(=O)OC(C)C
465-73-6,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@H](C=C4)[C@@H]3[C@@]1(Cl)C2(Cl)Cl
57052-04-7,CSC1=NN=C(C(=O)N1\N=C\C(C)C)C(C)(C)C
2631-40-5,CNC(=O)OC1=C(C=CC=C1)C(C)C
34123-59-6,CC(C)C1=CC=C(NC(=O)N(C)C)C=C1
55861-78-4,CN(C)C(=O)NC1=NOC(=C1)C(C)(C)C
18854-01-8,CCOP(=S)(OCC)OC1=NOC(=C1)C1=CC=CC=C1
58769-20-3,CC1(C)[C@H](\C=C2/CCSC2=O)[C@@H]1C(=O)OCC1=COC(CC2=CC=CC=C2)=C1
4849-32-5,CN(C)C(=O)NC1=CC=CC(OC(=O)NC(C)(C)C)=C1
2164-08-1,O=C1NC2=C(CCC2)C(=O)N1C1CCCCC1
7055-03-0,CC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1
2595-54-2,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
29173-31-7,COC(=O)N(C)C(=O)CSP(C)(=S)OC
78-57-9,COP(=S)(OC)SCC1=NC(N)=NC(N)=N1
110235-47-7,CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1
3060-89-7,CON(C)C(=O)NC1=CC=C(Br)C=C1
19937-59-8,COC1=C(Cl)C=C(NC(=O)N(C)C)C=C1
371-86-8,CC(C)NP(F)(=O)NC(C)C
7287-36-7,CCCC(C)(C)C(=O)NC1=CC=C(Cl)C=C1
144-41-2,COP(=S)(OC)SCC(=O)N1CCOCC1
26389-78-6,CC1=CC(=C(N(CCCl)CCCl)C(=C1)[N+]([O-])=O)[N+]([O-])=O
555-37-3,CCCCN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1
4726-14-1,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(C)(=O)=O)[N+]([O-])=O
29672-19-3,CNC(=O)O\N=C\C(C)(C)CCC#N
991-42-4,OC(C1=CC2C3C(C1\C2=C(/C1=CC=CC=C1)C1=CC=CC=N1)C(=O)NC3=O)(C1=CC=CC=C1)C1=NC=CC=C1
63284-71-9,OC(C1=CC=C(F)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl
2674-91-1,CCS(=O)CC(C)SP(=O)(OC)OC
17781-31-6,OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C1=CC=CN=C1
66063-05-6,ClC1=CC=C(CN(C2CCCC2)C(=O)NC2=CC=CC=C2)C=C1
35367-31-8,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(C=C1)C(F)(F)F
2307-68-8,CCCC(C)C(=O)NC1=CC=C(C)C(Cl)=C1
2275-14-1,CCOP(=S)(OCC)SCSC1=C(Cl)C=CC(Cl)=C1
3134-12-1,CN(C)C(=O)N(C(=O)C1=CC=CC=C1)C1=CC(Cl)=C(Cl)C=C1
2597-03-7,CCOC(=O)C(SP(=S)(OC)OC)C1=CC=CC=C1
947-02-4,CCOP(=O)(OCC)N=C1SCCS1
34643-46-4,CCCSP(=S)(OCC)OC1=C(Cl)C=C(Cl)C=C1
21267-72-1,CC(C#C)N(C(=O)CCl)C1=CC=CC=C1
13457-18-6,CCOC(=O)C1=CN2N=C(OP(=S)(OCC)OCC)C=C2N=C1C
1086-02-8,ClC1=NC(Cl)=C(C#N)C(C2=CC=CC=C2)=C1C#N
88283-41-4,CON=C(CC1=CC=CN=C1)C1=C(Cl)C=C(Cl)C=C1
53558-25-1,[O-][N+](=O)C1=CC=C(NC(=O)NCC2=CC=CN=C2)C=C1
87-47-8,CN(C)C(=O)OC1=CC(C)=NN1C1=CC=CC=C1
90717-03-6,CC1=CC2=C(N=C1)C(C(O)=O)=C(Cl)C=C2
152-16-9,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C
37032-15-8,COCNC(=O)CSP(=S)(OC)OC
1918-18-9,COC(=O)NC1=CC(Cl)=C(Cl)C=C1
83121-18-0,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C(Cl)=C(F)C(Cl)=C1
1918-11-2,CNC(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C
4212-93-5,CCCCOCN(C(=O)CCl)C1=C(C=CC=C1C)C(C)(C)C
39196-18-4,CNC(=O)ON=C(CSC)C(C)(C)C
640-15-3,CCSCCSP(=S)(OC)OC
297-97-2,CCOP(=S)(OCC)OC1=CN=CC=N1
93-75-4,S=C1SC2=C(S1)N=C1C=CC=CC1=N2
26419-73-8,CNC(=O)ON=CC1(C)SCC(C)S1
731-27-1,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)C1=CC=C(C)C=C1
1031-47-6,CN(C)P(=O)(N(C)C)N1N=C(N=C1N)C1=CC=CC=C1
16227-10-4,CCCCN1C=NN=C1
2307-49-5,COC1=C(Cl)C=C(Cl)C(Cl)=C1C(O)=O
1912-26-1,CCNC1=NC(Cl)=NC(=N1)N(CC)CC
1420-06-0,C1CN(CCO1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
40596-80-3,CCSC(=O)\C=C(/C)\C=C\CC(C)CCCC(C)(C)OC
83-28-3,CC(C)CC(=O)C1C(=O)C2=C(C=CC=C2)C1=O
2275-23-2,CNC(=O)C(C)SCCSP(=O)(OC)OC
63114-77-2,CC(C)N(C(=O)CCl)C1=C(C)C(C)=CC=C1
62-49-7,C[N+](C)(C)CCO
49866-87-7,CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1
88805-35-0,CCC(=O)C1C(=O)CC(CC1=O)C(O)=O
59682-52-9,CCOP(O)(=O)C(N)=O
15263-53-3,CN(C)C(CSC(N)=O)CSC(N)=O
26399-36-0,CCCN(CC1CC1)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
88485-37-4,FC(F)(F)C(=NOCC1OCCO1)C1=CC=C(Cl)C=C1
38083-17-9,CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=CN=C1
86811-58-7,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC(OC2=NC=C(C=C2Cl)C(F)(F)F)=C(Cl)C=C1
118712-89-3,CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)OCC1=C(F)C(F)=CC(F)=C1F
31895-21-3,CN(C)C1CSSSC1
55634-91-8,CCC\C(NOCC=C)=C1\C(=O)CC(C)(C)C(C(=O)OC)C1=O
18467-77-1,CC1(C)O[C@H]2[C@@H]3OC(C)(C)OC[C@@H]3O[C@]2(O1)C(O)=O
57646-30-7,COC(=O)C(C)N(C(=O)C1=CC=CO1)C1=C(C)C=CC=C1C
139528-85-1,COC1=NC2=NC(=NN2C(OC)=C1)S(=O)(=O)NC1=C(Cl)C(C)=CC=C1Cl
41394-05-2,CC1=NN=C(C(=O)N1N)C1=CC=CC=C1
7003-89-6,C[N+](C)(C)CCCl
7440-23-5,[Na]
7440-70-2,[Ca]
72850-64-7,FC(F)(F)C1=C(SC(Cl)=N1)C(=O)OCC1=CC=CC=C1
74782-23-3,C#CC(=NOCC1OCCO1)C1=CC=CC=C1
87-41-2,O=C1OCC2=CC=CC=C12
65907-30-4,CCCCOC(=O)N(C)SN(C)C(=O)OC1=CC=CC2=C1OC(C)(C)C2
12071-83-9,[Zn++].CC(CNC([S-])=S)NC([S-])=S
15545-48-9,CN(C)C(=O)NC1=CC(Cl)=C(C)C=C1
101205-02-1,CCCC(=NOCC)C1=C(O)CC(CC1=O)C1CCCSC1
101903-30-4,CCC(N(CC1=CC=CO1)C(=O)N1C=CN=C1)C(=O)OCCCC=C
105779-78-0,CCOCCC1=C(C)C(C)=C(OCCN=C2NC=NC(CC)=C2Cl)C=C1
106917-52-6,[O-][N+](=O)C1=CC(Cl)=C(NS(=O)(=O)C2=CC(=C(Cl)C=C2)C(F)(F)F)C=C1
108-35-0,CCOP(=S)(OCC)OC1=NNC(C)=C1
111479-05-1,C[C@@H](OC1=CC=C(OC2=NC3=C(C=C(Cl)C=C3)N=C2)C=C1)C(=O)OCCON=C(C)C
111872-58-3,CC(C)(COCC1=CC(OC2=CC=CC=C2)=CC=C1)C1=CC=C(OC(F)(F)Br)C=C1
